Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment
MES,6509.75,SPY G2,#ffffff,#1395ba,left
MES,6513.0,SPX 1D Exp Move Max,#ffffff,#1395ba,left
MES,6513.0,SPY 1D Exp Move Max,#ffffff,#1395ba,left
MES,6515.75,BL3,#ffffff,#808080,left
MES,6515.75,SPX CallWall,#ffffff,#1395ba,left
MES,6519.75,G5,#ffffff,#808080,left
MES,6519.75,SPX G6,#ffffff,#1395ba,left
MES,6519.75,SPY G7,#ffffff,#1395ba,left
MES,6525.0,G2,#ffffff,#808080,left
MES,6525.0,SPX G10,#ffffff,#1395ba,left
MES,6527.0,BL1,#ffffff,#808080,left
MES,6529.75,1D Max,#ffffff,#808080,left
MES,6529.75,SPY CallWall,#ffffff,#1395ba,left
MES,6540.0,SPX G7,#ffffff,#1395ba,left
MES,6540.0,SPY G6,#ffffff,#1395ba,left
MES,6548.25,BL6,#ffffff,#808080,left
MES,6550.0,G6,#ffffff,#808080,left
MES,6555.75,SPX G9,#ffffff,#1395ba,left
MES,6570.0,G9,#ffffff,#808080,left
MES,6575.0,G8,#ffffff,#808080,left
MES,6615.5,BL4,#ffffff,#808080,left
MES,6656.75,BL9,#ffffff,#808080,left
MNQ,22656.0,QQQ PutWall,#ffffff,#1395ba,left
MNQ,22874.0,BL9,#ffffff,#808080,left
MNQ,23000.0,PutWall,#ffffff,#808080,left
MNQ,23061.0,NDX G8,#ffffff,#1395ba,left
MNQ,23061.0,QQQ G10,#ffffff,#1395ba,left
MNQ,23070.0,QQQ G6,#ffffff,#1395ba,left
MNQ,23166.0,NDX G10,#ffffff,#1395ba,left
MNQ,23226.0,NDX 1D Min,#ffffff,#1395ba,left
MNQ,23226.0,QQQ 1D Min,#ffffff,#1395ba,left
MNQ,23237.5,BL5,#ffffff,#808080,left
MNQ,23250.0,BL10,#ffffff,#808080,left
MNQ,23250.0,G10,#ffffff,#808080,left
MNQ,23265.0,NDX G5,#ffffff,#1395ba,left
MNQ,23274.0,QQQ G2,#ffffff,#1395ba,left
MNQ,23300.0,G8,#ffffff,#808080,left
MNQ,23339.25,1D Min,#ffffff,#808080,left
MNQ,23355.0,BL2,#ffffff,#808080,left
MNQ,23397.0,G5,#ffffff,#808080,left
MNQ,23397.0,QQQ G3,#ffffff,#1395ba,left
MNQ,23439.0,QQQ G5,#ffffff,#1395ba,left
MNQ,23466.0,NDX G1,#ffffff,#1395ba,left
MNQ,23481.0,BL4,#ffffff,#808080,left
MNQ,23481.0,QQQ PutWall 0DTE,#ffffff,#1395ba,left
MNQ,23490.0,HVL,#ffffff,#808080,left
MNQ,23500.0,G1,#ffffff,#808080,left
MNQ,23523.0,QQQ G4,#ffffff,#1395ba,left
MNQ,23550.0,HVL 0DTE,#ffffff,#808080,left
MNQ,23550.0,NDX HVL,#ffffff,#1395ba,left
MNQ,23550.0,PutWall 0DTE,#ffffff,#808080,left
MNQ,23562.0,NDX G4,#ffffff,#1395ba,left
MNQ,23562.0,QQQ HVL,#ffffff,#1395ba,left
MNQ,23562.0,QQQ HVL 0DTE,#ffffff,#1395ba,left
MNQ,23575.75,BL7,#ffffff,#808080,left
MNQ,23575.75,NDX HVL 0DTE,#ffffff,#1395ba,left
MNQ,23586.0,NDX CallWall 0DTE,#ffffff,#1395ba,left
MNQ,23586.0,NDX GammaWall 0DTE,#ffffff,#1395ba,left
MNQ,23598.0,G3,#ffffff,#808080,left
MNQ,23598.0,NDX G2,#ffffff,#1395ba,left
MNQ,23598.0,QQQ CallWall 0DTE,#ffffff,#1395ba,left
MNQ,23598.0,QQQ GammaWall 0DTE,#ffffff,#1395ba,left
MNQ,23607.0,NDX G3,#ffffff,#1395ba,left
MNQ,23628.0,NDX PutWall,#ffffff,#1395ba,left
MNQ,23628.0,NDX PutWall 0DTE,#ffffff,#1395ba,left
MNQ,23650.0,BL6,#ffffff,#808080,left
MNQ,23650.0,G4,#ffffff,#808080,left
MNQ,23688.0,BL1,#ffffff,#808080,left
MNQ,23688.0,QQQ G1,#ffffff,#1395ba,left
MNQ,23700.0,CallWall 0DTE,#ffffff,#808080,left
MNQ,23700.0,GammaWall 0DTE,#ffffff,#808080,left
MNQ,23709.0,NDX 1D Exp Move Max,#ffffff,#1395ba,left
MNQ,23709.0,QQQ 1D Exp Move Max,#ffffff,#1395ba,left
MNQ,23727.0,QQQ G9,#ffffff,#1395ba,left
MNQ,23750.0,G2,#ffffff,#808080,left
MNQ,23769.0,NDX G9,#ffffff,#1395ba,left
MNQ,23769.0,QQQ G7,#ffffff,#1395ba,left
MNQ,23793.0,BL3,#ffffff,#808080,left
MNQ,23793.0,CallWall,#ffffff,#808080,left
MNQ,23793.0,NDX CallWall,#ffffff,#1395ba,left
MNQ,23800.25,1D Max,#ffffff,#808080,left
MNQ,23844.0,G7,#ffffff,#808080,left
MNQ,23844.0,NDX G7,#ffffff,#1395ba,left
MNQ,23844.0,QQQ G8,#ffffff,#1395ba,left
MNQ,23891.25,BL8,#ffffff,#808080,left
MNQ,23891.25,QQQ CallWall,#ffffff,#1395ba,left
MNQ,23900.0,G9,#ffffff,#808080,left
MNQ,23919.0,NDX G6,#ffffff,#1395ba,left
MNQ,24000.0,G6,#ffffff,#808080,left
NQ,22656.0,QQQ PutWall,#ffffff,#1395ba,left
NQ,22874.0,BL9,#ffffff,#808080,left
NQ,23000.0,PutWall,#ffffff,#808080,left
NQ,23061.0,NDX G8,#ffffff,#1395ba,left
NQ,23061.0,QQQ G10,#ffffff,#1395ba,left
NQ,23070.0,QQQ G6,#ffffff,#1395ba,left
NQ,23166.0,NDX G10,#ffffff,#1395ba,left
NQ,23226.0,NDX 1D Min,#ffffff,#1395ba,left
NQ,23226.0,QQQ 1D Min,#ffffff,#1395ba,left
NQ,23237.5,BL5,#ffffff,#808080,left
NQ,23250.0,BL10,#ffffff,#808080,left
NQ,23250.0,G10,#ffffff,#808080,left
NQ,23265.0,NDX G5,#ffffff,#1395ba,left
NQ,23274.0,QQQ G2,#ffffff,#1395ba,left
NQ,23300.0,G8,#ffffff,#808080,left
NQ,23339.25,1D Min,#ffffff,#808080,left
NQ,23355.0,BL2,#ffffff,#808080,left
NQ,23397.0,G5,#ffffff,#808080,left
NQ,23397.0,QQQ G3,#ffffff,#1395ba,left
NQ,23439.0,QQQ G5,#ffffff,#1395ba,left
NQ,23466.0,NDX G1,#ffffff,#1395ba,left
NQ,23481.0,BL4,#ffffff,#808080,left
NQ,23481.0,QQQ PutWall 0DTE,#ffffff,#1395ba,left
NQ,23490.0,HVL,#ffffff,#808080,left
NQ,23500.0,G1,#ffffff,#808080,left
NQ,23523.0,QQQ G4,#ffffff,#1395ba,left
NQ,23550.0,HVL 0DTE,#ffffff,#808080,left
NQ,23550.0,NDX HVL,#ffffff,#1395ba,left
NQ,23550.0,PutWall 0DTE,#ffffff,#808080,left
NQ,23562.0,NDX G4,#ffffff,#1395ba,left
NQ,23562.0,QQQ HVL,#ffffff,#1395ba,left
NQ,23562.0,QQQ HVL 0DTE,#ffffff,#1395ba,left
NQ,23575.75,BL7,#ffffff,#808080,left
NQ,23575.75,NDX HVL 0DTE,#ffffff,#1395ba,left
NQ,23586.0,NDX CallWall 0DTE,#ffffff,#1395ba,left
NQ,23586.0,NDX GammaWall 0DTE,#ffffff,#1395ba,left
NQ,23598.0,G3,#ffffff,#808080,left
NQ,23598.0,NDX G2,#ffffff,#1395ba,left
NQ,23598.0,QQQ CallWall 0DTE,#ffffff,#1395ba,left
NQ,23598.0,QQQ GammaWall 0DTE,#ffffff,#1395ba,left
NQ,23607.0,NDX G3,#ffffff,#1395ba,left
NQ,23628.0,NDX PutWall,#ffffff,#1395ba,left
NQ,23628.0,NDX PutWall 0DTE,#ffffff,#1395ba,left
NQ,23650.0,BL6,#ffffff,#808080,left
NQ,23650.0,G4,#ffffff,#808080,left
NQ,23688.0,BL1,#ffffff,#808080,left
NQ,23688.0,QQQ G1,#ffffff,#1395ba,left
NQ,23700.0,CallWall 0DTE,#ffffff,#808080,left
NQ,23700.0,GammaWall 0DTE,#ffffff,#808080,left
NQ,23709.0,NDX 1D Exp Move Max,#ffffff,#1395ba,left
NQ,23709.0,QQQ 1D Exp Move Max,#ffffff,#1395ba,left
NQ,23727.0,QQQ G9,#ffffff,#1395ba,left
NQ,23750.0,G2,#ffffff,#808080,left
NQ,23769.0,NDX G9,#ffffff,#1395ba,left
NQ,23769.0,QQQ G7,#ffffff,#1395ba,left
NQ,23793.0,BL3,#ffffff,#808080,left
NQ,23793.0,CallWall,#ffffff,#808080,left
NQ,23793.0,NDX CallWall,#ffffff,#1395ba,left
NQ,23800.25,1D Max,#ffffff,#808080,left
NQ,23844.0,G7,#ffffff,#808080,left
NQ,23844.0,NDX G7,#ffffff,#1395ba,left
NQ,23844.0,QQQ G8,#ffffff,#1395ba,left
NQ,23891.25,BL8,#ffffff,#808080,left
NQ,23891.25,QQQ CallWall,#ffffff,#1395ba,left
NQ,23900.0,G9,#ffffff,#808080,left
NQ,23919.0,NDX G6,#ffffff,#1395ba,left
NQ,24000.0,G6,#ffffff,#808080,left
